source_id,population_type,population,context,monitor,year,club,metric_native,metric,value,source_unit,value_type,confidence,citation_urls,notes
trackman_tour_averages_classic,tour_average,pga_tour,classic_data_sheet,TrackMan,2010,Driver,club speed,club_speed,113,mph,group_mean,cross_verified,https://teeituprva.com/wp-content/uploads/2019/03/PGA-AVERAGES-INTERACTIVE.pdf;http://3jack.blogspot.com/2010/02/trackman-pga-lpga-tour-averages.html;https://hititlonger.com/trackman-data-pga-tour-averages/,
trackman_tour_averages_classic,tour_average,pga_tour,classic_data_sheet,TrackMan,2010,Driver,attack angle,attack_angle,-1.3,deg,group_mean,cross_verified,https://teeituprva.com/wp-content/uploads/2019/03/PGA-AVERAGES-INTERACTIVE.pdf;http://3jack.blogspot.com/2010/02/trackman-pga-lpga-tour-averages.html;https://hititlonger.com/trackman-data-pga-tour-averages/,
trackman_tour_averages_classic,tour_average,pga_tour,classic_data_sheet,TrackMan,2010,Driver,ball speed,ball_speed,167,mph,group_mean,cross_verified,https://teeituprva.com/wp-content/uploads/2019/03/PGA-AVERAGES-INTERACTIVE.pdf;http://3jack.blogspot.com/2010/02/trackman-pga-lpga-tour-averages.html;https://hititlonger.com/trackman-data-pga-tour-averages/,
trackman_tour_averages_classic,tour_average,pga_tour,classic_data_sheet,TrackMan,2010,Driver,smash factor,smash_factor,1.48,1,group_mean,cross_verified,https://teeituprva.com/wp-content/uploads/2019/03/PGA-AVERAGES-INTERACTIVE.pdf;http://3jack.blogspot.com/2010/02/trackman-pga-lpga-tour-averages.html;https://hititlonger.com/trackman-data-pga-tour-averages/,
trackman_tour_averages_classic,tour_average,pga_tour,classic_data_sheet,TrackMan,2010,Driver,launch angle,launch_angle,10.9,deg,group_mean,cross_verified,https://teeituprva.com/wp-content/uploads/2019/03/PGA-AVERAGES-INTERACTIVE.pdf;http://3jack.blogspot.com/2010/02/trackman-pga-lpga-tour-averages.html;https://hititlonger.com/trackman-data-pga-tour-averages/,
trackman_tour_averages_classic,tour_average,pga_tour,classic_data_sheet,TrackMan,2010,Driver,spin rate,spin_rate,2686,rpm,group_mean,cross_verified,https://teeituprva.com/wp-content/uploads/2019/03/PGA-AVERAGES-INTERACTIVE.pdf;http://3jack.blogspot.com/2010/02/trackman-pga-lpga-tour-averages.html;https://hititlonger.com/trackman-data-pga-tour-averages/,
trackman_tour_averages_classic,tour_average,pga_tour,classic_data_sheet,TrackMan,2010,Driver,max height,apex_height,32,yd,group_mean,cross_verified,https://teeituprva.com/wp-content/uploads/2019/03/PGA-AVERAGES-INTERACTIVE.pdf;http://3jack.blogspot.com/2010/02/trackman-pga-lpga-tour-averages.html;https://hititlonger.com/trackman-data-pga-tour-averages/,
trackman_tour_averages_classic,tour_average,pga_tour,classic_data_sheet,TrackMan,2010,Driver,land angle,descent_angle,38,deg,group_mean,cross_verified,https://teeituprva.com/wp-content/uploads/2019/03/PGA-AVERAGES-INTERACTIVE.pdf;http://3jack.blogspot.com/2010/02/trackman-pga-lpga-tour-averages.html;https://hititlonger.com/trackman-data-pga-tour-averages/,
trackman_tour_averages_classic,tour_average,pga_tour,classic_data_sheet,TrackMan,2010,Driver,carry,carry_distance,275,yd,group_mean,cross_verified,https://teeituprva.com/wp-content/uploads/2019/03/PGA-AVERAGES-INTERACTIVE.pdf;http://3jack.blogspot.com/2010/02/trackman-pga-lpga-tour-averages.html;https://hititlonger.com/trackman-data-pga-tour-averages/,
trackman_tour_averages_classic,tour_average,pga_tour,classic_data_sheet,TrackMan,2010,3-wood,club speed,club_speed,107,mph,group_mean,cross_verified,https://teeituprva.com/wp-content/uploads/2019/03/PGA-AVERAGES-INTERACTIVE.pdf;http://3jack.blogspot.com/2010/02/trackman-pga-lpga-tour-averages.html;https://hititlonger.com/trackman-data-pga-tour-averages/,
trackman_tour_averages_classic,tour_average,pga_tour,classic_data_sheet,TrackMan,2010,3-wood,attack angle,attack_angle,-2.9,deg,group_mean,cross_verified,https://teeituprva.com/wp-content/uploads/2019/03/PGA-AVERAGES-INTERACTIVE.pdf;http://3jack.blogspot.com/2010/02/trackman-pga-lpga-tour-averages.html;https://hititlonger.com/trackman-data-pga-tour-averages/,
trackman_tour_averages_classic,tour_average,pga_tour,classic_data_sheet,TrackMan,2010,3-wood,ball speed,ball_speed,158,mph,group_mean,cross_verified,https://teeituprva.com/wp-content/uploads/2019/03/PGA-AVERAGES-INTERACTIVE.pdf;http://3jack.blogspot.com/2010/02/trackman-pga-lpga-tour-averages.html;https://hititlonger.com/trackman-data-pga-tour-averages/,
