source_id,club,sample_count,metric,source_unit,trackman_mean,trackman_sd,trackman_min,trackman_max,flightscope_mean,flightscope_sd,flightscope_min,flightscope_max,mean_difference_trackman_minus_flightscope,sd_difference,mape_percent,icc_consistency,icc_absolute,pearson_r,measurement_status,environment,software_version
bliss_langdown_2026,Driver,58,attack_angle,deg,2.73,2.05,-2.30,7.70,1.53,2.21,-2.60,8.20,1.20,0.96,43.97,0.95,0.87,0.90,reported,indoor_normalized_sea_level,TrackMan unspecified; FS Golf 7.7.3
bliss_langdown_2026,Driver,58,ball_speed,mph,153.82,6.28,133.84,165.14,155.31,6.42,136.00,167.10,-1.49,0.82,0.97,0.996,0.98,0.99,reported,indoor_normalized_sea_level,TrackMan unspecified; FS Golf 7.7.3
bliss_langdown_2026,Driver,58,carry_distance,yd,249.37,16.40,205.54,283.93,247.73,16.19,209.40,277.40,1.63,6.72,0.65,0.96,0.95,0.92,reported,indoor_normalized_sea_level,TrackMan unspecified; FS Golf 7.7.3
bliss_langdown_2026,Driver,58,total_distance,yd,266.23,16.45,222.69,302.56,262.02,17.19,212.80,291.90,4.21,11.53,1.58,0.87,0.85,0.77,reported,indoor_normalized_sea_level,TrackMan unspecified; FS Golf 7.7.3
bliss_langdown_2026,Driver,58,club_path,deg,-3.75,2.28,-9.30,1.70,-2.25,2.37,-6.90,3.60,-1.50,2.35,40.00,0.66,0.58,0.49,reported,indoor_normalized_sea_level,TrackMan unspecified; FS Golf 7.7.3
bliss_langdown_2026,Driver,58,club_speed,mph,107.70,3.29,100.77,113.72,108.10,3.19,102.10,115.40,-0.40,1.00,0.37,0.98,0.97,0.95,reported,indoor_normalized_sea_level,TrackMan unspecified; FS Golf 7.7.3
bliss_langdown_2026,Driver,58,dynamic_loft,deg,15.55,2.91,7.28,20.96,16.78,4.11,7.60,26.10,-1.23,1.82,7.91,0.93,0.90,0.92,reported,indoor_normalized_sea_level,TrackMan unspecified; FS Golf 7.7.3
bliss_langdown_2026,Driver,58,face_angle,deg,-1.01,4.17,-11.10,6.63,-0.76,4.04,-12.40,6.70,-0.24,2.00,23.76,0.94,0.94,0.88,reported,indoor_normalized_sea_level,TrackMan unspecified; FS Golf 7.7.3
bliss_langdown_2026,Driver,58,face_to_path,deg,2.83,4.07,-8.38,13.02,1.49,4.53,-8.50,12.80,1.34,1.25,47.35,0.98,0.96,0.96,reported,indoor_normalized_sea_level,TrackMan unspecified; FS Golf 7.7.3
bliss_langdown_2026,Driver,58,apex_height,ft,114.30,28.42,31.76,169.56,112.62,27.61,40.20,163.80,1.68,12.33,1.47,0.95,0.95,0.90,reported,indoor_normalized_sea_level,TrackMan unspecified; FS Golf 7.7.3
bliss_langdown_2026,Driver,58,descent_angle,deg,42.80,6.78,17.49,54.51,42.83,5.85,23.10,51.40,-0.02,3.93,0.05,0.89,0.90,0.81,reported,indoor_normalized_sea_level,TrackMan unspecified; FS Golf 7.7.3
bliss_langdown_2026,Driver,58,launch_angle,deg,13.61,2.92,6.14,19.36,14.36,2.93,7.20,19.80,-0.75,0.84,5.51,0.98,0.96,0.96,reported,indoor_normalized_sea_level,TrackMan unspecified; FS Golf 7.7.3
bliss_langdown_2026,Driver,58,launch_direction,deg,-1.40,3.66,-10.02,5.84,-1.10,3.45,-11.50,5.30,-0.30,1.99,21.43,0.92,0.92,0.85,reported,indoor_normalized_sea_level,TrackMan unspecified; FS Golf 7.7.3
bliss_langdown_2026,Driver,58,lateral_total,yd,7.28,28.24,-66.60,65.70,-1.17,29.68,-75.20,58.50,8.45,10.74,116.07,0.96,0.94,0.93,reported,indoor_normalized_sea_level,TrackMan unspecified; FS Golf 7.7.3
bliss_langdown_2026,Driver,58,smash_factor,1,1.43,0.04,1.29,1.47,1.44,0.04,1.27,1.50,-0.01,0.01,0.70,0.97,0.96,0.94,reported,indoor_normalized_sea_level,TrackMan unspecified; FS Golf 7.7.3
bliss_langdown_2026,Driver,58,spin_axis,deg,5.82,8.17,-21.86,22.74,2.58,18.21,-45.00,39.30,3.24,12.28,55.67,0.77,0.76,0.83,reported,indoor_normalized_sea_level,TrackMan unspecified; FS Golf 7.7.3
bliss_langdown_2026,Driver,58,spin_rate,rpm,3171,694,1581,4551,3226,560,1825,4610,-55,513,1.73,0.80,0.80,0.68,reported,indoor_normalized_sea_level,TrackMan unspecified; FS Golf 7.7.3
bliss_langdown_2026,Driver,58,swing_direction,deg,-1.34,3.06,-6.92,6.71,-1.04,3.04,-5.70,9.10,-0.30,2.18,22.39,0.85,0.85,0.74,reported,indoor_normalized_sea_level,TrackMan unspecified; FS Golf 7.7.3
bliss_langdown_2026,Driver,58,swing_plane,deg,47.77,2.25,42.25,53.35,53.01,2.32,46.90,57.60,-5.24,2.31,10.97,0.66,0.24,0.49,reported,indoor_normalized_sea_level,TrackMan unspecified; FS Golf 7.7.3
bliss_langdown_2026,7-Iron,80,attack_angle,deg,-2.58,1.31,-5.10,2.60,-5.31,1.76,-9.90,0.90,2.73,2.16,105.81,0.06,0.02,0.29,reported,indoor_normalized_sea_level,TrackMan unspecified; FS Golf 7.7.3
bliss_langdown_2026,7-Iron,80,ball_speed,mph,114.69,4.46,101.56,123.85,117.72,4.58,103.90,127.00,-3.03,0.57,2.64,0.996,0.90,0.99,reported,indoor_normalized_sea_level,TrackMan unspecified; FS Golf 7.7.3
bliss_langdown_2026,7-Iron,80,carry_distance,yd,156.34,7.09,134.68,171.38,158.75,8.65,135.00,177.40,-2.41,5.35,1.54,0.87,0.85,0.79,reported,indoor_normalized_sea_level,TrackMan unspecified; FS Golf 7.7.3
bliss_langdown_2026,7-Iron,80,total_distance,yd,161.41,7.76,137.09,178.56,161.47,9.61,134.40,181.00,-0.06,6.70,0.04,0.83,0.83,0.72,reported,indoor_normalized_sea_level,TrackMan unspecified; FS Golf 7.7.3
bliss_langdown_2026,7-Iron,80,club_path,deg,-2.06,2.85,-9.80,4.90,-2.34,2.96,-8.20,6.40,0.28,2.21,13.59,0.83,0.83,0.71,reported,indoor_normalized_sea_level,TrackMan unspecified; FS Golf 7.7.3
